Date,Filing,Description
25/11/2002,4,Statement of Changes of Beneficial Ownership
25/11/2002,4,Statement of Changes of Beneficial Ownership
25/11/2002,SC 13G,Statement of Beneficial Ownership
21/11/2002,4,Statement of Changes of Beneficial Ownership
21/11/2002,4,Statement of Changes of Beneficial Ownership
20/11/2002,4,Statement of Changes of Beneficial Ownership
20/11/2002,4,Statement of Changes of Beneficial Ownership
20/11/2002,4/A,Amended Statement of Changes of Beneficial Ownership
19/11/2002,4,Statement of Changes of Beneficial Ownership
18/11/2002,4,Statement of Changes of Beneficial Ownership
18/11/2002,4,Statement of Changes of Beneficial Ownership
15/11/2002,4,Statement of Changes of Beneficial Ownership
14/11/2002,8-K,Current Report
14/11/2002,10-Q,Quarterly Report
14/11/2002,4,Statement of Changes of Beneficial Ownership
14/11/2002,4,Statement of Changes of Beneficial Ownership
07/11/2002,SC 13D/A,Amended General Statement of Beneficial Ownership
07/11/2002,4,Statement of Changes of Beneficial Ownership
07/11/2002,4,Statement of Changes of Beneficial Ownership
06/11/2002,4/A,Amended Statement of Changes of Beneficial Ownership
06/11/2002,4,Statement of Changes of Beneficial Ownership
04/11/2002,4/A,Amended Statement of Changes of Beneficial Ownership
04/11/2002,4/A,Amended Statement of Changes of Beneficial Ownership
01/11/2002,4,Statement of Changes of Beneficial Ownership
01/11/2002,4,Statement of Changes of Beneficial Ownership
01/11/2002,4,Statement of Changes of Beneficial Ownership
31/10/2002,SC 13D,General Statement of Beneficial Ownership
31/10/2002,4,Statement of Changes of Beneficial Ownership
31/10/2002,4,Statement of Changes of Beneficial Ownership
31/10/2002,4,Statement of Changes of Beneficial Ownership
30/10/2002,4,Statement of Changes of Beneficial Ownership
30/10/2002,4,Statement of Changes of Beneficial Ownership
28/10/2002,4,Statement of Changes of Beneficial Ownership
24/10/2002,4,Statement of Changes of Beneficial Ownership
23/10/2002,4,Statement of Changes of Beneficial Ownership
19/09/2002,DEF 14A,Definitive Proxy Statement
06/09/2002,8-K,Current Report
06/09/2002,8-K,Current Report
06/09/2002,10-K,Annual Report
17/07/2002,CB,FORM CB
10/07/2002,CB/A,FORM CB/A
09/07/2002,CB/A,FORM CB/A
05/07/2002,CB/A,FORM CB/A
03/07/2002,SC 13D/A,Amended General Statement of Beneficial Ownership
02/07/2002,CB/A,FORM CB/A
26/06/2002,CB/A,FORM CB/A
21/06/2002,CB/A,FORM CB/A
18/06/2002,11-K,Annual Report of Employee Stock Purchase
11/06/2002,CB/A,FORM CB/A
16/05/2002,SC 13D/A,Amended General Statement of Beneficial Ownership
14/05/2002,CB,FORM CB
30/04/2002,10-Q,Quarterly Report
01/04/2002,11-K,Annual Report of Employee Stock Purchase
25/03/2002,10-Q/A,Amended Quarterly Report
25/03/2002,10-Q/A,Amended Quarterly Report
20/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
20/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G,Statement of Beneficial Ownership
14/02/2002,SC 13G,Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G,Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2002,SC 13G/A,Amended Statement of Beneficial Ownership
08/02/2002,10-Q,Quarterly Report
19/02/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
12/12/2003,4,Statement of Changes of Beneficial Ownership
11/12/2003,424B2,Prospectus Filed Pursuant to Rule 424
11/12/2003,SC TO-I/A,Other
09/12/2003,4,Statement of Changes of Beneficial Ownership
02/12/2003,4,Statement of Changes of Beneficial Ownership
01/12/2003,4,Statement of Changes of Beneficial Ownership
18/11/2003,4,Statement of Changes of Beneficial Ownership
18/11/2003,4,Statement of Changes of Beneficial Ownership
17/11/2003,4,Statement of Changes of Beneficial Ownership
14/11/2003,4,Statement of Changes of Beneficial Ownership
14/11/2003,4,Statement of Changes of Beneficial Ownership
13/11/2003,10-Q,Quarterly Report
13/11/2003,8-K,Current Report
13/11/2003,3,Initial Statement of Beneficial Ownership
13/11/2003,3,Initial Statement of Beneficial Ownership
13/11/2003,4,Statement of Changes of Beneficial Ownership
13/11/2003,4,Statement of Changes of Beneficial Ownership
12/11/2003,SC TO-I/A,Other
12/11/2003,424B2,Prospectus Filed Pursuant to Rule 424
07/11/2003,SC TO-I/A,Other
07/11/2003,4,Statement of Changes of Beneficial Ownership
07/11/2003,4,Statement of Changes of Beneficial Ownership
05/11/2003,SC TO-I/A,Other
03/11/2003,4,Statement of Changes of Beneficial Ownership
31/10/2003,4,Statement of Changes of Beneficial Ownership
30/10/2003,S-3,Registration Statement
30/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
28/10/2003,4,Statement of Changes of Beneficial Ownership
27/10/2003,424B2,Prospectus Filed Pursuant to Rule 424
24/10/2003,8-K,Current Report
23/10/2003,8-K,Current Report
21/10/2003,DEFA14A,Definitive Additional Proxy Materials
21/10/2003,SC TO-I/A,Other
20/10/2003,POS AM,Post-Effective Amendment
20/10/2003,S-3/A,Registration Statement
16/10/2003,S-3/A,Registration Statement
15/10/2003,SC TO-I,Other
26/09/2003,S-8,Registration Statement
22/09/2003,4,Statement of Changes of Beneficial Ownership
18/09/2003,4,Statement of Changes of Beneficial Ownership
18/09/2003,DEF 14A,Definitive Proxy Statement
16/09/2003,S-3,Registration Statement
12/09/2003,4/A,Amended Statement of Changes of Beneficial Ownership
12/09/2003,3/A,Amended Initial Statement of Beneficial Ownership
08/09/2003,4,Statement of Changes of Beneficial Ownership
05/09/2003,10-K,Annual Report
05/09/2003,4,Statement of Changes of Beneficial Ownership
05/09/2003,4,Statement of Changes of Beneficial Ownership
05/09/2003,4,Statement of Changes of Beneficial Ownership
05/09/2003,8-K,Current Report
03/09/2003,4,Statement of Changes of Beneficial Ownership
03/09/2003,4,Statement of Changes of Beneficial Ownership
03/09/2003,4,Statement of Changes of Beneficial Ownership
02/09/2003,4,Statement of Changes of Beneficial Ownership
02/09/2003,4,Statement of Changes of Beneficial Ownership
02/09/2003,4,Statement of Changes of Beneficial Ownership
02/09/2003,4,Statement of Changes of Beneficial Ownership
28/08/2003,4,Statement of Changes of Beneficial Ownership
27/08/2003,4,Statement of Changes of Beneficial Ownership
26/08/2003,4,Statement of Changes of Beneficial Ownership
22/08/2003,4,Statement of Changes of Beneficial Ownership
22/08/2003,4,Statement of Changes of Beneficial Ownership
22/08/2003,4,Statement of Changes of Beneficial Ownership
21/08/2003,4,Statement of Changes of Beneficial Ownership
21/08/2003,4,Statement of Changes of Beneficial Ownership
20/08/2003,4,Statement of Changes of Beneficial Ownership
19/08/2003,4,Statement of Changes of Beneficial Ownership
18/08/2003,SC 13D/A,Amended General Statement of Beneficial Ownership
18/08/2003,4,Statement of Changes of Beneficial Ownership
15/08/2003,4,Statement of Changes of Beneficial Ownership
15/08/2003,4,Statement of Changes of Beneficial Ownership
14/08/2003,4,Statement of Changes of Beneficial Ownership
13/08/2003,4,Statement of Changes of Beneficial Ownership
12/08/2003,4,Statement of Changes of Beneficial Ownership
11/08/2003,4,Statement of Changes of Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,5,Annual Statement of Changes in Beneficial Ownership
08/08/2003,4/A,Amended Statement of Changes of Beneficial Ownership
08/08/2003,5/A,Amended Annual Statement of Changes in Beneficial Ownership
08/08/2003,4,Statement of Changes of Beneficial Ownership
08/08/2003,4,Statement of Changes of Beneficial Ownership
08/08/2003,4,Statement of Changes of Beneficial Ownership
07/08/2003,4,Statement of Changes of Beneficial Ownership
07/08/2003,5,Annual Statement of Changes in Beneficial Ownership
07/08/2003,4,Statement of Changes of Beneficial Ownership
07/08/2003,4,Statement of Changes of Beneficial Ownership
07/08/2003,4,Statement of Changes of Beneficial Ownership
07/08/2003,SC 13G/A,Amended Statement of Beneficial Ownership
06/08/2003,4,Statement of Changes of Beneficial Ownership
06/08/2003,4,Statement of Changes of Beneficial Ownership
05/08/2003,3,Initial Statement of Beneficial Ownership
05/08/2003,4,Statement of Changes of Beneficial Ownership
05/08/2003,4,Statement of Changes of Beneficial Ownership
05/08/2003,4,Statement of Changes of Beneficial Ownership
05/08/2003,4,Statement of Changes of Beneficial Ownership
04/08/2003,4,Statement of Changes of Beneficial Ownership
04/08/2003,SC 13G,Statement of Beneficial Ownership
04/08/2003,4,Statement of Changes of Beneficial Ownership
04/08/2003,4,Statement of Changes of Beneficial Ownership
01/08/2003,4,Statement of Changes of Beneficial Ownership
01/08/2003,5,Annual Statement of Changes in Beneficial Ownership
01/08/2003,4,Statement of Changes of Beneficial Ownership
01/08/2003,5,Annual Statement of Changes in Beneficial Ownership
01/08/2003,5,Annual Statement of Changes in Beneficial Ownership
31/07/2003,4,Statement of Changes of Beneficial Ownership
30/07/2003,4,Statement of Changes of Beneficial Ownership
30/07/2003,4,Statement of Changes of Beneficial Ownership
29/07/2003,4,Statement of Changes of Beneficial Ownership
29/07/2003,4,Statement of Changes of Beneficial Ownership
29/07/2003,4,Statement of Changes of Beneficial Ownership
25/07/2003,4,Statement of Changes of Beneficial Ownership
25/07/2003,4,Statement of Changes of Beneficial Ownership
25/07/2003,4,Statement of Changes of Beneficial Ownership
25/07/2003,4,Statement of Changes of Beneficial Ownership
25/07/2003,4,Statement of Changes of Beneficial Ownership
25/07/2003,5/A,Amended Annual Statement of Changes in Beneficial Ownership
24/07/2003,4,Statement of Changes of Beneficial Ownership
24/07/2003,4,Statement of Changes of Beneficial Ownership
24/07/2003,4,Statement of Changes of Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
24/07/2003,5,Annual Statement of Changes in Beneficial Ownership
23/07/2003,4,Statement of Changes of Beneficial Ownership
17/07/2003,8-K,Current Report
10/07/2003,4,Statement of Changes of Beneficial Ownership
09/07/2003,3/A,Amended Initial Statement of Beneficial Ownership
09/07/2003,3,Initial Statement of Beneficial Ownership
02/07/2003,4,Statement of Changes of Beneficial Ownership
02/07/2003,4,Statement of Changes of Beneficial Ownership
01/07/2003,4,Statement of Changes of Beneficial Ownership
27/06/2003,11-K,Annual Report of Employee Stock Purchase
24/06/2003,4,Statement of Changes of Beneficial Ownership
24/06/2003,4,Statement of Changes of Beneficial Ownership
24/06/2003,4/A,Amended Statement of Changes of Beneficial Ownership
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
20/06/2003,POS AM,Post-Effective Amendment
11/06/2003,4/A,Amended Statement of Changes of Beneficial Ownership
10/06/2003,4,Statement of Changes of Beneficial Ownership
06/06/2003,4,Statement of Changes of Beneficial Ownership
05/06/2003,4/A,Amended Statement of Changes of Beneficial Ownership
05/06/2003,4/A,Amended Statement of Changes of Beneficial Ownership
04/06/2003,4,Statement of Changes of Beneficial Ownership
04/06/2003,4,Statement of Changes of Beneficial Ownership
02/06/2003,4,Statement of Changes of Beneficial Ownership
02/06/2003,4,Statement of Changes of Beneficial Ownership
02/06/2003,4,Statement of Changes of Beneficial Ownership
30/05/2003,4,Statement of Changes of Beneficial Ownership
30/05/2003,4,Statement of Changes of Beneficial Ownership
30/05/2003,4,Statement of Changes of Beneficial Ownership
29/05/2003,4,Statement of Changes of Beneficial Ownership
29/05/2003,4,Statement of Changes of Beneficial Ownership
27/05/2003,SC 13D/A,Amended General Statement of Beneficial Ownership
27/05/2003,4,Statement of Changes of Beneficial Ownership
27/05/2003,4,Statement of Changes of Beneficial Ownership
23/05/2003,4,Statement of Changes of Beneficial Ownership
23/05/2003,4,Statement of Changes of Beneficial Ownership
23/05/2003,4,Statement of Changes of Beneficial Ownership
23/05/2003,4,Statement of Changes of Beneficial Ownership
21/05/2003,4,Statement of Changes of Beneficial Ownership
19/05/2003,4,Statement of Changes of Beneficial Ownership
19/05/2003,4,Statement of Changes of Beneficial Ownership
14/05/2003,4,Statement of Changes of Beneficial Ownership
14/05/2003,4,Statement of Changes of Beneficial Ownership
12/05/2003,8-K,Current Report
12/05/2003,10-Q,Quarterly Report
12/05/2003,4,Statement of Changes of Beneficial Ownership
12/05/2003,4,Statement of Changes of Beneficial Ownership
06/05/2003,4,Statement of Changes of Beneficial Ownership
02/05/2003,4,Statement of Changes of Beneficial Ownership
01/05/2003,4,Statement of Changes of Beneficial Ownership
01/05/2003,4,Statement of Changes of Beneficial Ownership
30/04/2003,4,Statement of Changes of Beneficial Ownership
29/04/2003,4,Statement of Changes of Beneficial Ownership
28/04/2003,4,Statement of Changes of Beneficial Ownership
25/04/2003,4,Statement of Changes of Beneficial Ownership
24/04/2003,4,Statement of Changes of Beneficial Ownership
24/04/2003,4,Statement of Changes of Beneficial Ownership
24/04/2003,4,Statement of Changes of Beneficial Ownership
22/04/2003,4,Statement of Changes of Beneficial Ownership
22/04/2003,4,Statement of Changes of Beneficial Ownership
18/04/2003,4,Statement of Changes of Beneficial Ownership
15/04/2003,8-K,Current Report
14/04/2003,4/A,Amended Statement of Changes of Beneficial Ownership
14/04/2003,4,Statement of Changes of Beneficial Ownership
31/03/2003,11-K,Annual Report of Employee Stock Purchase
21/03/2003,4,Statement of Changes of Beneficial Ownership
18/03/2003,4,Statement of Changes of Beneficial Ownership
07/03/2003,4,Statement of Changes of Beneficial Ownership
07/03/2003,4,Statement of Changes of Beneficial Ownership
07/03/2003,4,Statement of Changes of Beneficial Ownership
06/03/2003,4,Statement of Changes of Beneficial Ownership
06/03/2003,4,Statement of Changes of Beneficial Ownership
06/03/2003,4,Statement of Changes of Beneficial Ownership
06/03/2003,4,Statement of Changes of Beneficial Ownership
05/03/2003,4,Statement of Changes of Beneficial Ownership
04/03/2003,4,Statement of Changes of Beneficial Ownership
04/03/2003,4/A,Amended Statement of Changes of Beneficial Ownership
03/03/2003,4,Statement of Changes of Beneficial Ownership
03/03/2003,4,Statement of Changes of Beneficial Ownership
28/02/2003,4,Statement of Changes of Beneficial Ownership
27/02/2003,4,Statement of Changes of Beneficial Ownership
27/02/2003,4,Statement of Changes of Beneficial Ownership
27/02/2003,4,Statement of Changes of Beneficial Ownership
26/02/2003,4,Statement of Changes of Beneficial Ownership
24/02/2003,4,Statement of Changes of Beneficial Ownership
21/02/2003,4,Statement of Changes of Beneficial Ownership
20/02/2003,4,Statement of Changes of Beneficial Ownership
18/02/2003,4,Statement of Changes of Beneficial Ownership
14/02/2003,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2003,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2003,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2003,4,Statement of Changes of Beneficial Ownership
14/02/2003,4,Statement of Changes of Beneficial Ownership
14/02/2003,4,Statement of Changes of Beneficial Ownership
14/02/2003,4,Statement of Changes of Beneficial Ownership
14/02/2003,4,Statement of Changes of Beneficial Ownership
14/02/2003,4,Statement of Changes of Beneficial Ownership
13/02/2003,SC 13G/A,Amended Statement of Beneficial Ownership
07/02/2003,4,Statement of Changes of Beneficial Ownership
05/02/2003,4,Statement of Changes of Beneficial Ownership
03/02/2003,8-K,Current Report
31/01/2003,10-Q,Quarterly Report
21/01/2003,4/A,Amended Statement of Changes of Beneficial Ownership
21/01/2003,4,Statement of Changes of Beneficial Ownership
21/01/2003,4,Statement of Changes of Beneficial Ownership
21/01/2003,4,Statement of Changes of Beneficial Ownership
14/01/2003,4,Statement of Changes of Beneficial Ownership
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
10/01/2003,POS AM,Post-Effective Amendment
07/01/2003,4,Statement of Changes of Beneficial Ownership
07/01/2003,4,Statement of Changes of Beneficial Ownership
