Date,Filing,Description
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
07/07/2006,4,Statement of Changes of Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
07/07/2006,5,Annual Statement of Changes in Beneficial Ownership
30/06/2006,11-K,Annual Report of Employee Stock Purchase
30/06/2006,11-K,Annual Report of Employee Stock Purchase
30/06/2006,11-K,Annual Report of Employee Stock Purchase
22/06/2006,4,Statement of Changes of Beneficial Ownership
16/06/2006,8-K,Current Report
12/06/2006,8-K,Current Report
09/06/2006,4,Statement of Changes of Beneficial Ownership
09/06/2006,4,Statement of Changes of Beneficial Ownership
09/06/2006,4,Statement of Changes of Beneficial Ownership
09/06/2006,4,Statement of Changes of Beneficial Ownership
09/06/2006,4,Statement of Changes of Beneficial Ownership
01/06/2006,4,Statement of Changes of Beneficial Ownership
10/05/2006,4,Statement of Changes of Beneficial Ownership
05/05/2006,3,Initial Statement of Beneficial Ownership
27/04/2006,8-K,Current Report
27/04/2006,10-Q,Quarterly Report
13/04/2006,8-K,Current Report
21/03/2006,3,Initial Statement of Beneficial Ownership
13/03/2006,4,Statement of Changes of Beneficial Ownership
13/03/2006,4,Statement of Changes of Beneficial Ownership
13/03/2006,4,Statement of Changes of Beneficial Ownership
13/03/2006,4,Statement of Changes of Beneficial Ownership
13/03/2006,4,Statement of Changes of Beneficial Ownership
13/03/2006,4/A,Amended Statement of Changes of Beneficial Ownership
13/03/2006,4,Statement of Changes of Beneficial Ownership
10/03/2006,8-K,Current Report
07/03/2006,4,Statement of Changes of Beneficial Ownership
06/03/2006,4,Statement of Changes of Beneficial Ownership
03/03/2006,10-Q/A,Amended Quarterly Report
28/02/2006,S-8,Registration Statement
16/02/2006,4,Statement of Changes of Beneficial Ownership
15/02/2006,4,Statement of Changes of Beneficial Ownership
14/02/2006,4,Statement of Changes of Beneficial Ownership
14/02/2006,4,Statement of Changes of Beneficial Ownership
14/02/2006,4,Statement of Changes of Beneficial Ownership
14/02/2006,SC 13G,Statement of Beneficial Ownership
14/02/2006,SC 13G,Statement of Beneficial Ownership
14/02/2006,SC 13G,Statement of Beneficial Ownership
14/02/2006,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2006,SC 13G/A,Amended Statement of Beneficial Ownership
14/02/2006,SC 13G,Statement of Beneficial Ownership
14/02/2006,SC 13G/A,Amended Statement of Beneficial Ownership
13/02/2006,4,Statement of Changes of Beneficial Ownership
13/02/2006,4,Statement of Changes of Beneficial Ownership
10/02/2006,4,Statement of Changes of Beneficial Ownership
09/02/2006,4,Statement of Changes of Beneficial Ownership
09/02/2006,4,Statement of Changes of Beneficial Ownership
09/02/2006,4,Statement of Changes of Beneficial Ownership
07/02/2006,4,Statement of Changes of Beneficial Ownership
03/02/2006,4,Statement of Changes of Beneficial Ownership
03/02/2006,8-K,Current Report
02/02/2006,4,Statement of Changes of Beneficial Ownership
02/02/2006,4,Statement of Changes of Beneficial Ownership
02/02/2006,4,Statement of Changes of Beneficial Ownership
02/02/2006,4,Statement of Changes of Beneficial Ownership
02/02/2006,4,Statement of Changes of Beneficial Ownership
01/02/2006,4,Statement of Changes of Beneficial Ownership
01/02/2006,4,Statement of Changes of Beneficial Ownership
01/02/2006,4,Statement of Changes of Beneficial Ownership
01/02/2006,4,Statement of Changes of Beneficial Ownership
01/02/2006,4,Statement of Changes of Beneficial Ownership
01/02/2006,4/A,Amended Statement of Changes of Beneficial Ownership
26/01/2006,8-K,Current Report
26/01/2006,10-Q,Quarterly Report
20/01/2006,8-K,Current Report
18/01/2006,4,Statement of Changes of Beneficial Ownership
11/01/2006,4,Statement of Changes of Beneficial Ownership
03/01/2006,4,Statement of Changes of Beneficial Ownership
27/12/2007,4,Statement of Changes of Beneficial Ownership
17/12/2007,4,Statement of Changes of Beneficial Ownership
14/12/2007,4,Statement of Changes of Beneficial Ownership
14/12/2007,4,Statement of Changes of Beneficial Ownership
14/12/2007,4,Statement of Changes of Beneficial Ownership
14/12/2007,4,Statement of Changes of Beneficial Ownership
14/12/2007,4,Statement of Changes of Beneficial Ownership
11/12/2007,4,Statement of Changes of Beneficial Ownership
07/12/2007,4,Statement of Changes of Beneficial Ownership
05/12/2007,4,Statement of Changes of Beneficial Ownership
05/12/2007,4,Statement of Changes of Beneficial Ownership
05/12/2007,8-K,Current Report
03/12/2007,4,Statement of Changes of Beneficial Ownership
30/11/2007,4,Statement of Changes of Beneficial Ownership
28/11/2007,4,Statement of Changes of Beneficial Ownership
27/11/2007,8-K,Current Report
26/11/2007,4,Statement of Changes of Beneficial Ownership
20/11/2007,4,Statement of Changes of Beneficial Ownership
15/11/2007,4,Statement of Changes of Beneficial Ownership
15/11/2007,4,Statement of Changes of Beneficial Ownership
15/11/2007,4,Statement of Changes of Beneficial Ownership
15/11/2007,4,Statement of Changes of Beneficial Ownership
14/11/2007,4,Statement of Changes of Beneficial Ownership
14/11/2007,4,Statement of Changes of Beneficial Ownership
14/11/2007,4,Statement of Changes of Beneficial Ownership
14/11/2007,4,Statement of Changes of Beneficial Ownership
13/11/2007,4,Statement of Changes of Beneficial Ownership
13/11/2007,4,Statement of Changes of Beneficial Ownership
09/11/2007,4,Statement of Changes of Beneficial Ownership
09/11/2007,4,Statement of Changes of Beneficial Ownership
08/11/2007,4,Statement of Changes of Beneficial Ownership
08/11/2007,4,Statement of Changes of Beneficial Ownership
07/11/2007,4,Statement of Changes of Beneficial Ownership
07/11/2007,4,Statement of Changes of Beneficial Ownership
07/11/2007,4,Statement of Changes of Beneficial Ownership
06/11/2007,4,Statement of Changes of Beneficial Ownership
06/11/2007,4,Statement of Changes of Beneficial Ownership
06/11/2007,4,Statement of Changes of Beneficial Ownership
06/11/2007,4,Statement of Changes of Beneficial Ownership
05/11/2007,4,Statement of Changes of Beneficial Ownership
05/11/2007,4,Statement of Changes of Beneficial Ownership
05/11/2007,4/A,Amended Statement of Changes of Beneficial Ownership
05/11/2007,4,Statement of Changes of Beneficial Ownership
02/11/2007,4,Statement of Changes of Beneficial Ownership
02/11/2007,4,Statement of Changes of Beneficial Ownership
02/11/2007,4,Statement of Changes of Beneficial Ownership
02/11/2007,4,Statement of Changes of Beneficial Ownership
30/10/2007,4,Statement of Changes of Beneficial Ownership
30/10/2007,4,Statement of Changes of Beneficial Ownership
29/10/2007,4,Statement of Changes of Beneficial Ownership
29/10/2007,4,Statement of Changes of Beneficial Ownership
26/10/2007,4,Statement of Changes of Beneficial Ownership
25/10/2007,8-K,Current Report
25/10/2007,10-Q,Quarterly Report
19/10/2007,8-K,Current Report
16/10/2007,DEFA14A,Definitive Additional Proxy Materials
02/10/2007,DEFA14A,Definitive Additional Proxy Materials
01/10/2007,4,Statement of Changes of Beneficial Ownership
28/09/2007,DEFA14A,Definitive Additional Proxy Materials
21/09/2007,DEF 14A,Definitive Proxy Statement
14/09/2007,4,Statement of Changes of Beneficial Ownership
14/09/2007,4,Statement of Changes of Beneficial Ownership
14/09/2007,4,Statement of Changes of Beneficial Ownership
14/09/2007,4,Statement of Changes of Beneficial Ownership
14/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
05/09/2007,4,Statement of Changes of Beneficial Ownership
31/08/2007,4,Statement of Changes of Beneficial Ownership
31/08/2007,4,Statement of Changes of Beneficial Ownership
31/08/2007,4,Statement of Changes of Beneficial Ownership
13/08/2007,5,Annual Statement of Changes in Beneficial Ownership
13/08/2007,8-K,Current Report
07/08/2007,4,Statement of Changes of Beneficial Ownership
07/08/2007,4,Statement of Changes of Beneficial Ownership
06/08/2007,4,Statement of Changes of Beneficial Ownership
06/08/2007,4,Statement of Changes of Beneficial Ownership
03/08/2007,10-K,Annual Report
03/08/2007,4,Statement of Changes of Beneficial Ownership
03/08/2007,4,Statement of Changes of Beneficial Ownership
03/08/2007,4,Statement of Changes of Beneficial Ownership
02/08/2007,4,Statement of Changes of Beneficial Ownership
02/08/2007,4,Statement of Changes of Beneficial Ownership
02/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
01/08/2007,4,Statement of Changes of Beneficial Ownership
31/07/2007,4,Statement of Changes of Beneficial Ownership
31/07/2007,4,Statement of Changes of Beneficial Ownership
30/07/2007,4,Statement of Changes of Beneficial Ownership
30/07/2007,4,Statement of Changes of Beneficial Ownership
30/07/2007,4,Statement of Changes of Beneficial Ownership
27/07/2007,4,Statement of Changes of Beneficial Ownership
27/07/2007,4,Statement of Changes of Beneficial Ownership
27/07/2007,4,Statement of Changes of Beneficial Ownership
26/07/2007,4,Statement of Changes of Beneficial Ownership
26/07/2007,4,Statement of Changes of Beneficial Ownership
26/07/2007,4,Statement of Changes of Beneficial Ownership
25/07/2007,4,Statement of Changes of Beneficial Ownership
25/07/2007,4,Statement of Changes of Beneficial Ownership
20/07/2007,4,Statement of Changes of Beneficial Ownership
19/07/2007,8-K,Current Report
17/07/2007,4,Statement of Changes of Beneficial Ownership
11/07/2007,5,Annual Statement of Changes in Beneficial Ownership
11/07/2007,5,Annual Statement of Changes in Beneficial Ownership
11/07/2007,5,Annual Statement of Changes in Beneficial Ownership
11/07/2007,5,Annual Statement of Changes in Beneficial Ownership
05/07/2007,8-K,Current Report
15/06/2007,4,Statement of Changes of Beneficial Ownership
15/06/2007,4,Statement of Changes of Beneficial Ownership
15/06/2007,4,Statement of Changes of Beneficial Ownership
15/06/2007,4,Statement of Changes of Beneficial Ownership
15/06/2007,4,Statement of Changes of Beneficial Ownership
30/05/2007,4,Statement of Changes of Beneficial Ownership
30/05/2007,4,Statement of Changes of Beneficial Ownership
29/05/2007,4,Statement of Changes of Beneficial Ownership
25/05/2007,4,Statement of Changes of Beneficial Ownership
24/05/2007,8-K,Current Report
16/05/2007,8-K,Current Report
11/05/2007,4,Statement of Changes of Beneficial Ownership
10/05/2007,4,Statement of Changes of Beneficial Ownership
09/05/2007,4,Statement of Changes of Beneficial Ownership
09/05/2007,4,Statement of Changes of Beneficial Ownership
08/05/2007,4,Statement of Changes of Beneficial Ownership
08/05/2007,4,Statement of Changes of Beneficial Ownership
07/05/2007,4,Statement of Changes of Beneficial Ownership
07/05/2007,4,Statement of Changes of Beneficial Ownership
04/05/2007,4,Statement of Changes of Beneficial Ownership
04/05/2007,4,Statement of Changes of Beneficial Ownership
04/05/2007,4,Statement of Changes of Beneficial Ownership
04/05/2007,4,Statement of Changes of Beneficial Ownership
04/05/2007,4,Statement of Changes of Beneficial Ownership
03/05/2007,4,Statement of Changes of Beneficial Ownership
02/05/2007,4,Statement of Changes of Beneficial Ownership
01/05/2007,4,Statement of Changes of Beneficial Ownership
01/05/2007,4,Statement of Changes of Beneficial Ownership
26/04/2007,8-K,Current Report
26/04/2007,10-Q,Quarterly Report
02/04/2007,4,Statement of Changes of Beneficial Ownership
26/03/2007,3,Initial Statement of Beneficial Ownership
26/03/2007,8-K,Current Report
09/03/2007,4,Statement of Changes of Beneficial Ownership
09/03/2007,4,Statement of Changes of Beneficial Ownership
09/03/2007,4,Statement of Changes of Beneficial Ownership
09/03/2007,4,Statement of Changes of Beneficial Ownership
02/03/2007,4,Statement of Changes of Beneficial Ownership
01/03/2007,4,Statement of Changes of Beneficial Ownership
01/03/2007,4,Statement of Changes of Beneficial Ownership
28/02/2007,4,Statement of Changes of Beneficial Ownership
27/02/2007,4,Statement of Changes of Beneficial Ownership
27/02/2007,8-K,Current Report
26/02/2007,4,Statement of Changes of Beneficial Ownership
26/02/2007,4,Statement of Changes of Beneficial Ownership
23/02/2007,4,Statement of Changes of Beneficial Ownership
23/02/2007,4,Statement of Changes of Beneficial Ownership
22/02/2007,4,Statement of Changes of Beneficial Ownership
22/02/2007,4,Statement of Changes of Beneficial Ownership
21/02/2007,4,Statement of Changes of Beneficial Ownership
20/02/2007,4,Statement of Changes of Beneficial Ownership
20/02/2007,4,Statement of Changes of Beneficial Ownership
16/02/2007,4,Statement of Changes of Beneficial Ownership
16/02/2007,4,Statement of Changes of Beneficial Ownership
16/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
16/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
16/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
16/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
16/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
16/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
15/02/2007,4,Statement of Changes of Beneficial Ownership
15/02/2007,4,Statement of Changes of Beneficial Ownership
14/02/2007,4,Statement of Changes of Beneficial Ownership
13/02/2007,4,Statement of Changes of Beneficial Ownership
13/02/2007,4,Statement of Changes of Beneficial Ownership
12/02/2007,4,Statement of Changes of Beneficial Ownership
12/02/2007,SC 13G/A,Amended Statement of Beneficial Ownership
09/02/2007,4,Statement of Changes of Beneficial Ownership
09/02/2007,4,Statement of Changes of Beneficial Ownership
08/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
01/02/2007,4,Statement of Changes of Beneficial Ownership
30/01/2007,SC 13G/A,Amended Statement of Beneficial Ownership
30/01/2007,SC 13G/A,Amended Statement of Beneficial Ownership
30/01/2007,SC 13G/A,Amended Statement of Beneficial Ownership
30/01/2007,SC 13G/A,Amended Statement of Beneficial Ownership
30/01/2007,SC 13G/A,Amended Statement of Beneficial Ownership
30/01/2007,SC 13G/A,Amended Statement of Beneficial Ownership
25/01/2007,8-K,Current Report
25/01/2007,10-Q,Quarterly Report
05/01/2007,4,Statement of Changes of Beneficial Ownership
12/12/2008,4,Statement of Changes of Beneficial Ownership
12/12/2008,4,Statement of Changes of Beneficial Ownership
12/12/2008,4,Statement of Changes of Beneficial Ownership
12/12/2008,4,Statement of Changes of Beneficial Ownership
12/12/2008,4,Statement of Changes of Beneficial Ownership
20/11/2008,4,Statement of Changes of Beneficial Ownership
20/11/2008,S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuers
20/11/2008,8-K,Current Report
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
19/11/2008,4,Statement of Changes of Beneficial Ownership
17/11/2008,4,Statement of Changes of Beneficial Ownership
14/11/2008,4,Statement of Changes of Beneficial Ownership
13/11/2008,4,Statement of Changes of Beneficial Ownership
12/11/2008,4,Statement of Changes of Beneficial Ownership
12/11/2008,4,Statement of Changes of Beneficial Ownership
10/11/2008,4,Statement of Changes of Beneficial Ownership
07/11/2008,4,Statement of Changes of Beneficial Ownership
06/11/2008,4,Statement of Changes of Beneficial Ownership
05/11/2008,4,Statement of Changes of Beneficial Ownership
04/11/2008,4,Statement of Changes of Beneficial Ownership
31/10/2008,4,Statement of Changes of Beneficial Ownership
23/10/2008,8-K,Current Report
23/10/2008,8-K,Current Report
23/10/2008,10-Q,Quarterly Report
16/10/2008,4,Statement of Changes of Beneficial Ownership
16/10/2008,SC 13D,General Statement of Beneficial Ownership
14/10/2008,4,Statement of Changes of Beneficial Ownership
14/10/2008,3,Initial Statement of Beneficial Ownership
09/10/2008,SC TO-T/A,Other
07/10/2008,SC TO-T/A,Other
03/10/2008,DEFA14A,Definitive Additional Proxy Materials
01/10/2008,4,Statement of Changes of Beneficial Ownership
30/09/2008,4,Statement of Changes of Beneficial Ownership
30/09/2008,4,Statement of Changes of Beneficial Ownership
30/09/2008,4,Statement of Changes of Beneficial Ownership
30/09/2008,4,Statement of Changes of Beneficial Ownership
30/09/2008,4,Statement of Changes of Beneficial Ownership
30/09/2008,4,Statement of Changes of Beneficial Ownership
29/09/2008,SC TO-T/A,Other
29/09/2008,DEF 14A,Definitive Proxy Statement
25/09/2008,8-K,Current Report
22/09/2008,4,Statement of Changes of Beneficial Ownership
22/09/2008,8-K,Current Report
18/09/2008,SC TO-T/A,Other
15/09/2008,4,Statement of Changes of Beneficial Ownership
15/09/2008,4,Statement of Changes of Beneficial Ownership
15/09/2008,4,Statement of Changes of Beneficial Ownership
15/09/2008,4,Statement of Changes of Beneficial Ownership
15/09/2008,4,Statement of Changes of Beneficial Ownership
11/09/2008,SC TO-T,Other
10/09/2008,SC TO-C,Other
08/09/2008,4,Statement of Changes of Beneficial Ownership
08/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4/A,Amended Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
03/09/2008,4,Statement of Changes of Beneficial Ownership
29/08/2008,SC TO-C,Other
28/08/2008,4,Statement of Changes of Beneficial Ownership
28/08/2008,4/A,Amended Statement of Changes of Beneficial Ownership
28/08/2008,4/A,Amended Statement of Changes of Beneficial Ownership
28/08/2008,4/A,Amended Statement of Changes of Beneficial Ownership
28/08/2008,4/A,Amended Statement of Changes of Beneficial Ownership
28/08/2008,4/A,Amended Statement of Changes of Beneficial Ownership
19/08/2008,4,Statement of Changes of Beneficial Ownership
14/08/2008,4,Statement of Changes of Beneficial Ownership
14/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
13/08/2008,4,Statement of Changes of Beneficial Ownership
12/08/2008,4,Statement of Changes of Beneficial Ownership
11/08/2008,4,Statement of Changes of Beneficial Ownership
08/08/2008,4,Statement of Changes of Beneficial Ownership
07/08/2008,4,Statement of Changes of Beneficial Ownership
06/08/2008,4,Statement of Changes of Beneficial Ownership
05/08/2008,4,Statement of Changes of Beneficial Ownership
04/08/2008,4,Statement of Changes of Beneficial Ownership
01/08/2008,4,Statement of Changes of Beneficial Ownership
01/08/2008,8-K,Current Report
31/07/2008,10-K,Annual Report
31/07/2008,4,Statement of Changes of Beneficial Ownership
30/07/2008,4,Statement of Changes of Beneficial Ownership
29/07/2008,4,Statement of Changes of Beneficial Ownership
28/07/2008,4,Statement of Changes of Beneficial Ownership
25/07/2008,4,Statement of Changes of Beneficial Ownership
25/07/2008,8-K,Current Report
24/07/2008,4,Statement of Changes of Beneficial Ownership
23/07/2008,4,Statement of Changes of Beneficial Ownership
22/07/2008,4,Statement of Changes of Beneficial Ownership
17/07/2008,8-K,Current Report
10/07/2008,5,Annual Statement of Changes in Beneficial Ownership
10/07/2008,5,Annual Statement of Changes in Beneficial Ownership
10/07/2008,5,Annual Statement of Changes in Beneficial Ownership
10/07/2008,5,Annual Statement of Changes in Beneficial Ownership
10/07/2008,5,Annual Statement of Changes in Beneficial Ownership
10/07/2008,3,Initial Statement of Beneficial Ownership
10/07/2008,3,Initial Statement of Beneficial Ownership
30/06/2008,11-K,Annual Report of Employee Stock Purchase
30/06/2008,11-K,Annual Report of Employee Stock Purchase
30/06/2008,11-K,Annual Report of Employee Stock Purchase
17/06/2008,8-K,Current Report
13/06/2008,4,Statement of Changes of Beneficial Ownership
13/06/2008,4,Statement of Changes of Beneficial Ownership
13/06/2008,4,Statement of Changes of Beneficial Ownership
13/06/2008,4,Statement of Changes of Beneficial Ownership
13/06/2008,4,Statement of Changes of Beneficial Ownership
19/05/2008,8-K,Current Report
16/05/2008,4,Statement of Changes of Beneficial Ownership
16/05/2008,4,Statement of Changes of Beneficial Ownership
16/05/2008,4,Statement of Changes of Beneficial Ownership
15/05/2008,4,Statement of Changes of Beneficial Ownership
15/05/2008,4,Statement of Changes of Beneficial Ownership
15/05/2008,4,Statement of Changes of Beneficial Ownership
14/05/2008,4,Statement of Changes of Beneficial Ownership
14/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
13/05/2008,4,Statement of Changes of Beneficial Ownership
12/05/2008,4,Statement of Changes of Beneficial Ownership
12/05/2008,4,Statement of Changes of Beneficial Ownership
12/05/2008,4,Statement of Changes of Beneficial Ownership
09/05/2008,4,Statement of Changes of Beneficial Ownership
08/05/2008,4,Statement of Changes of Beneficial Ownership
08/05/2008,4,Statement of Changes of Beneficial Ownership
05/05/2008,8-K,Current Report
02/05/2008,4,Statement of Changes of Beneficial Ownership
02/05/2008,425,Other
25/04/2008,425,Other
25/04/2008,425,Other
25/04/2008,4,Statement of Changes of Beneficial Ownership
24/04/2008,8-K,Current Report
24/04/2008,10-Q,Quarterly Report
24/04/2008,8-K,Current Report
16/04/2008,4,Statement of Changes of Beneficial Ownership
10/04/2008,425,Other
07/04/2008,425,Other
07/04/2008,8-K,Current Report
07/04/2008,425,Other
31/03/2008,11-K,Annual Report of Employee Stock Purchase
28/03/2008,3,Initial Statement of Beneficial Ownership
14/03/2008,4,Statement of Changes of Beneficial Ownership
14/03/2008,4,Statement of Changes of Beneficial Ownership
14/03/2008,4,Statement of Changes of Beneficial Ownership
14/03/2008,4,Statement of Changes of Beneficial Ownership
14/03/2008,4,Statement of Changes of Beneficial Ownership
07/03/2008,425,Other
03/03/2008,425,Other
28/02/2008,425,Other
22/02/2008,425,Other
19/02/2008,425,Other
14/02/2008,8-K,Current Report
14/02/2008,SC 13G/A,Amended Statement of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
13/02/2008,4,Statement of Changes of Beneficial Ownership
12/02/2008,425,Other
12/02/2008,8-K,Current Report
11/02/2008,4,Statement of Changes of Beneficial Ownership
04/02/2008,425,Other
04/02/2008,425,Other
04/02/2008,425,Other
04/02/2008,425,Other
04/02/2008,425,Other
01/02/2008,425,Other
01/02/2008,425,Other
01/02/2008,425,Other
01/02/2008,8-K,Current Report
01/02/2008,425,Other
24/01/2008,8-K,Current Report
24/01/2008,10-Q,Quarterly Report
23/01/2008,4,Statement of Changes of Beneficial Ownership
23/01/2008,3,Initial Statement of Beneficial Ownership
15/01/2008,4,Statement of Changes of Beneficial Ownership
15/01/2008,4,Statement of Changes of Beneficial Ownership
15/01/2008,SC 13G/A,Amended Statement of Beneficial Ownership
15/01/2008,SC 13G/A,Amended Statement of Beneficial Ownership
11/01/2008,8-K,Current Report
08/01/2008,4,Statement of Changes of Beneficial Ownership
02/01/2008,4,Statement of Changes of Beneficial Ownership
02/01/2008,4,Statement of Changes of Beneficial Ownership
02/01/2008,4,Statement of Changes of Beneficial Ownership
29/12/2009,4,Statement of Changes of Beneficial Ownership
29/12/2009,4,Statement of Changes of Beneficial Ownership
22/12/2009,4,Statement of Changes of Beneficial Ownership
16/12/2009,4,Statement of Changes of Beneficial Ownership
11/12/2009,4,Statement of Changes of Beneficial Ownership
11/12/2009,4,Statement of Changes of Beneficial Ownership
11/12/2009,4,Statement of Changes of Beneficial Ownership
11/12/2009,4,Statement of Changes of Beneficial Ownership
11/12/2009,4,Statement of Changes of Beneficial Ownership
04/12/2009,3,Initial Statement of Beneficial Ownership
04/12/2009,8-K,Current Report
24/11/2009,8-K,Current Report
20/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
19/11/2009,4,Statement of Changes of Beneficial Ownership
18/11/2009,4,Statement of Changes of Beneficial Ownership
18/11/2009,4,Statement of Changes of Beneficial Ownership
16/11/2009,3/A,Amended Initial Statement of Beneficial Ownership
16/11/2009,DEFA14A,Definitive Additional Proxy Materials
13/11/2009,4,Statement of Changes of Beneficial Ownership
13/11/2009,3,Initial Statement of Beneficial Ownership
12/11/2009,4,Statement of Changes of Beneficial Ownership
10/11/2009,4,Statement of Changes of Beneficial Ownership
09/11/2009,4,Statement of Changes of Beneficial Ownership
06/11/2009,4,Statement of Changes of Beneficial Ownership
06/11/2009,4,Statement of Changes of Beneficial Ownership
05/11/2009,4,Statement of Changes of Beneficial Ownership
05/11/2009,4,Statement of Changes of Beneficial Ownership
04/11/2009,4,Statement of Changes of Beneficial Ownership
03/11/2009,4,Statement of Changes of Beneficial Ownership
02/11/2009,4,Statement of Changes of Beneficial Ownership
30/10/2009,DEFA14A,Definitive Additional Proxy Materials
30/10/2009,4,Statement of Changes of Beneficial Ownership
28/10/2009,4,Statement of Changes of Beneficial Ownership
27/10/2009,4,Statement of Changes of Beneficial Ownership
26/10/2009,4,Statement of Changes of Beneficial Ownership
26/10/2009,4,Statement of Changes of Beneficial Ownership
23/10/2009,10-Q,Quarterly Report
23/10/2009,8-K,Current Report
16/10/2009,4,Statement of Changes of Beneficial Ownership
09/10/2009,4,Statement of Changes of Beneficial Ownership
06/10/2009,DEFA14A,Definitive Additional Proxy Materials
02/10/2009,4,Statement of Changes of Beneficial Ownership
02/10/2009,4,Statement of Changes of Beneficial Ownership
